Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),SOUTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),EAST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),NORTH PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),WEST PERIMETER LIGHTS 1:Lights Electricity Rate [W](Hourly),CORE LIGHTS 1:Lights Electricity Rate [W](Hourly),PLENUM:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM:Zone Air Temperature [C](Hourly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),SOUTH PERIMETER:Zone Air Temperature [C](Hourly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),EAST PERIMETER:Zone Air Temperature [C](Hourly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),NORTH PERIMETER:Zone Air Temperature [C](Hourly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Hourly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Hourly),WEST PERIMETER:Zone Air Temperature [C](Hourly),CORE:Zone Air System Sensible Heating Rate [W](Hourly),CORE:Zone Air System Sensible Cooling Rate [W](Hourly),CORE:Zone Air Temperature [C](Hourly),Whole Building:Facility Total HVAC Electricity Demand Rate [W](Hourly),SOUTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),CORE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Electricity Rate [W](Hourly),SOUTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),EAST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),WEST ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),CORE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Electricity Rate [W](Hourly) 
 01/02  10:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.735004097667732,0.0,0.0,18.570826084755237,0.0,0.0,18.853449415512146,0.0,0.0,18.705431759107655,0.0,0.0,19.310013622231368,0.0,0.0,19.41162170449344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  11:00:00,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.85776634518296,0.0,0.0,18.802362290147796,0.0,0.0,19.045246476957403,0.0,0.0,18.88948395080937,0.0,0.0,19.49436283955708,0.0,0.0,19.44722168433906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  12:00:00,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.03442205237252,0.0,0.0,19.133827865146075,0.0,0.0,19.278095780009964,0.0,0.0,19.13069021639057,0.0,0.0,19.737138351198987,0.0,0.0,19.54072478197058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  13:00:00,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.267249476716021,0.0,0.0,19.500078463948435,0.0,0.0,19.53165096705466,0.0,0.0,19.401092179886409,0.0,0.0,20.029919086966147,0.0,0.0,19.69207313307986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51948738524397,0.0,0.0,19.605949238574487,0.0,0.0,19.587932908305626,0.0,0.0,19.45522025005431,0.0,0.0,20.145429178105578,0.0,0.0,19.70877397817385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  15:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.706817078268247,0.0,0.0,19.588244903009028,0.0,0.0,19.57447488956327,0.0,0.0,19.437231223810856,0.0,0.0,20.196490951941756,0.0,0.0,19.744714592389877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  16:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.819700763158054,0.0,0.0,19.379975984644024,0.0,0.0,19.445557686173218,0.0,0.0,19.30398711385882,0.0,0.0,20.081156915389305,0.0,0.0,19.72840548296009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  17:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.855000875174202,0.0,0.0,18.98005743334216,0.0,0.0,19.156506953523974,0.0,0.0,19.00564862678833,0.0,0.0,19.750613229827743,0.0,0.0,19.569807280277204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  18:00:00,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.822673294336776,0.0,0.0,18.813231301449265,0.0,0.0,19.059375209126693,0.0,0.0,18.91863855289955,0.0,0.0,19.631686151204965,0.0,0.0,19.61987358036123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/02  19:00:00,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.76191002216509,0.0,0.0,18.708985228710636,0.0,0.0,18.98823709699007,0.0,0.0,18.861682669744586,0.0,0.0,19.546619484119544,0.0,0.0,19.63302090725865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
